ID,Pages,Test,Domain,Skill,Source_PDF
e677fa6c,7,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-medium.pdf
66c47028,8,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-medium.pdf
d5b9ed0d,9,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-medium.pdf
356ad646,10_11,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-medium.pdf
b38935ab,12,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-medium.pdf
8a584241,13,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-medium.pdf
67b59a67,14,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-medium.pdf
7edfb2c5,15,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-medium.pdf
0c622cfb,16,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-medium.pdf
5fb6ed10,17,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-medium.pdf
db876fd5,18,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-medium.pdf
c538954d,19,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-medium.pdf
f8244f7c,20,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-medium.pdf
29cde5fa,21,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-medium.pdf
dc3ea63e,22,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-medium.pdf
55688b3c,23,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-medium.pdf
7c21b4b5,24,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-medium.pdf
81af81d4,25,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-medium.pdf
6409016a,26,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-medium.pdf
e1546fd6,27,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-medium.pdf
5432d1de,28,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-medium.pdf
3882ddf6,29,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-medium.pdf
d74b9bc6,30,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-medium.pdf
a2b0fc3b,31,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-medium.pdf
2584bcfb,32,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-medium.pdf
25290c8d,33,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-medium.pdf
7ae8065c,34,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-medium.pdf
cbecb873,35,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-medium.pdf
99fdf71c,36,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-medium.pdf
ff18829b,37,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-medium.pdf
e2829dd7,38_39,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-medium.pdf
350e2336,40_41,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-medium.pdf
f8befe75,42,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-medium.pdf
3f05e40f,43,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-medium.pdf
659c6c1d,44,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-medium.pdf
5d6ab069,45,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-medium.pdf
2df730d0,46,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-medium.pdf
1d08c7ee,47_48,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-medium.pdf
adbcbce0,49,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-medium.pdf
dd349efc,50,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-medium.pdf
1db1a9a6,51,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-medium.pdf
95146ebb,52,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-medium.pdf
485962a6,53,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-medium.pdf
d8b78a2b,54,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-medium.pdf
ac5536c1,55,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-medium.pdf
1aa3f174,56,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-medium.pdf
145d5ca7,57,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-medium.pdf
be34a3df,58,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-medium.pdf
8f6d6ae6,59,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-medium.pdf
870ae7ec,60,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-medium.pdf
b0a525be,61,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-medium.pdf
eef91a50,62,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-medium.pdf
01a32c84,63,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-medium.pdf
67667d72,64,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-medium.pdf
b6560e5a,65,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-medium.pdf
403d7bb5,66,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-medium.pdf
6b49f5f1,67,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-medium.pdf
5cc85f01,68,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-medium.pdf
40c3589d,69,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-medium.pdf
c8540a5b,70,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-medium.pdf
c101fc44,71,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-medium.pdf
a427a52c,72,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-medium.pdf
c04e9136,73,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-medium.pdf
fe41f258,74,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-medium.pdf
3ed5ebb4,75,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-medium.pdf
f1bfbed3,1,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-hard.pdf
6b8a7c74,2,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-hard.pdf
a15b3219,3,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-hard.pdf
ed314256,4_5,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-hard.pdf
0d7f4966,6,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-hard.pdf
068f939b,7,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-hard.pdf
ce4448b7,8,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-hard.pdf
040583a5,9,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-hard.pdf
7a1877be,10,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-hard.pdf
4b3d6062,11,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-hard.pdf
58e9e497,12,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-hard.pdf
1a2b29c9,13,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-hard.pdf
04cbeca3,14,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-hard.pdf
2fdfe002,15,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-hard.pdf
ccb1ab92,16,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-hard.pdf
be19faa1,17,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-hard.pdf
c83e0b43,18_19,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-hard.pdf
dd1757fd,20,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-hard.pdf
e185a21f,21,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-hard.pdf
09f9edb0,22,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-hard.pdf
f9bd4e61,23,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-hard.pdf
96802cc0,24,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-hard.pdf
35b46381,25,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-hard.pdf
4ba0695d,26,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-hard.pdf
aaddd60f,27,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-hard.pdf
39e440e4,28,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-hard.pdf
d0fbf1ae,29,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-hard.pdf
08395130,30,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-hard.pdf
14189fbb,31,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-hard.pdf
156ff681,32,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-hard.pdf
e946a32e,33,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-hard.pdf
dc87adf4,34,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-hard.pdf
53c6c179,35,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-hard.pdf
df91532e,36_37,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-hard.pdf
44da37eb,38,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-hard.pdf
626a1308,39,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-hard.pdf
a44bbd6b,40,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-hard.pdf
d5da74be,41,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-hard.pdf
3f236877,42_43,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-hard.pdf
4d3e3c52,44,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-hard.pdf
d1b8a9ad,45,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-hard.pdf
95dbdf51,46,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-hard.pdf
63e7799d,47,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-hard.pdf
0dba14e6,48,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-hard.pdf
e80ba20d,49,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-hard.pdf
4a07be59,50,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-hard.pdf
a13c1c66,51,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-hard.pdf
f942646f,52,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-hard.pdf
16025337,53,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-hard.pdf
df37c087,54,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-hard.pdf
6d4b2e1e,55,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-hard.pdf
109d5bbb,56,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-hard.pdf
c468db1c,57,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-hard.pdf
78e978b5,58,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-hard.pdf
78b88c04,59,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-hard.pdf
